"work_year","experience_level","employment_type","job_title","salary_in_usd","employee_residence","remote_ratio","company_location","company_size"
2020,"Mid-level","Full Time","Data Scientist",79833,"DE","Stationary","DE","L"
2020,"Senior/Expert","Full Time","Machine Learning Scientist",260000,"JP","Stationary","JP","S"
2020,"Senior/Expert","Full Time","Big Data Engineer",109024,"GB","Partially remote","GB","M"
2020,"Mid-level","Full Time","Product Data Analyst",20000,"HN","Stationary","HN","S"
2020,"Senior/Expert","Full Time","Machine Learning Engineer",150000,"US","Partially remote","US","L"
2020,"Entry/Junior","Full Time","Data Analyst",72000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Lead Data Scientist",190000,"US","Remote","US","S"
2020,"Mid-level","Full Time","Data Scientist",35735,"HU","Partially remote","HU","L"
2020,"Mid-level","Full Time","Business Data Analyst",135000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Lead Data Engineer",125000,"NZ","Partially remote","NZ","S"
2020,"Entry/Junior","Full Time","Data Scientist",51321,"FR","Stationary","FR","S"
2020,"Mid-level","Full Time","Data Scientist",40481,"IN","Stationary","IN","L"
2020,"Entry/Junior","Full Time","Data Scientist",39916,"FR","Stationary","FR","M"
2020,"Mid-level","Full Time","Lead Data Analyst",87000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Analyst",85000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Analyst",8000,"PK","Partially remote","PK","L"
2020,"Entry/Junior","Full Time","Data Engineer",41689,"JP","Remote","JP","S"
2020,"Senior/Expert","Full Time","Big Data Engineer",114047,"PL","Remote","GB","S"
2020,"Entry/Junior","Full Time","Data Science Consultant",5707,"IN","Partially remote","IN","M"
2020,"Mid-level","Full Time","Lead Data Engineer",56000,"PT","Remote","US","M"
2020,"Mid-level","Full Time","Machine Learning Engineer",43331,"CN","Stationary","CN","M"
2020,"Mid-level","Full Time","Product Data Analyst",6072,"IN","Remote","IN","L"
2020,"Senior/Expert","Full Time","Data Engineer",47899,"GR","Partially remote","GR","L"
2020,"Mid-level","Full Time","BI Data Analyst",98000,"US","Stationary","US","M"
2020,"Mid-level","Full Time","Lead Data Scientist",115000,"AE","Stationary","AE","L"
2020,"Executive","Full Time","Director of Data Science",325000,"US","Remote","US","L"
2020,"Entry/Junior","Full Time","Research Scientist",42000,"NL","Partially remote","NL","L"
2020,"Senior/Expert","Full Time","Data Engineer",33511,"MX","Stationary","MX","S"
2020,"Entry/Junior","Contract","Business Data Analyst",100000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Machine Learning Manager",117104,"CA","Partially remote","CA","L"
2020,"Mid-level","Full Time","Data Engineering Manager",59303,"DE","Remote","DE","S"
2020,"Entry/Junior","Full Time","Big Data Engineer",70000,"US","Remote","US","L"
2020,"Senior/Expert","Full Time","Data Scientist",68428,"GR","Remote","US","L"
2020,"Mid-level","Full Time","Research Scientist",450000,"US","Stationary","US","M"
2020,"Mid-level","Full Time","Data Analyst",46759,"FR","Partially remote","FR","L"
2020,"Mid-level","Full Time","Data Engineer",74130,"AT","Partially remote","AT","L"
2020,"Mid-level","Full Time","Data Science Consultant",103000,"US","Remote","US","L"
2020,"Entry/Junior","Full Time","Machine Learning Engineer",250000,"US","Partially remote","US","L"
2020,"Entry/Junior","Full Time","Data Analyst",10000,"NG","Remote","NG","S"
2020,"Entry/Junior","Full Time","Machine Learning Engineer",138000,"US","Remote","US","S"
2020,"Mid-level","Full Time","Data Scientist",45760,"PH","Remote","US","S"
2020,"Executive","Full Time","Data Engineering Manager",79833,"ES","Partially remote","ES","L"
2020,"Mid-level","Full Time","Machine Learning Infrastructure Engineer",50180,"PT","Stationary","PT","M"
2020,"Mid-level","Full Time","Data Engineer",106000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Engineer",112872,"GB","Partially remote","GB","L"
2020,"Entry/Junior","Part Time","ML Engineer",15966,"DE","Remote","DE","S"
2020,"Mid-level","Full Time","Data Scientist",76958,"GB","Remote","GB","S"
2020,"Senior/Expert","Full Time","Data Engineer",188000,"US","Remote","US","L"
2020,"Mid-level","Full Time","Data Scientist",105000,"US","Remote","US","L"
